Orbit,First no panel,Last no panel,Last Frame,# No panel,% No panel,Glare,Glare Start 1,Glare End 1,Glare Start 2,Glare End 2,Notes,,,,,,Very Good,"MLSPB covers most sp, 0-15-frame difference"
12427,,,,,,1,8,17,1362,1397,,,,,,,Good,"MLSPB covers most sp, 15-30-frame difference"
12428,,,,,,1,1329,1384,,,,,,,,,Okay,"MLSPB misses more sp, 15-30-frame difference"
12429,,,,,,1,829,939,1328,1373,,,,,,,Bad,"MLSPB misses more sp, >30-frame difference"
12430,,,,,,1,538,676,1302,1363,,,,,,,Very Bad,MLSPB misses a lot more sp
12431,,,,,,1,1328,1384,,,,,,,,,Special,"Special cases, model does not work properly"
12432,,,,,,1,947,1002,1328,1374,,,,,,,,
12433,,,,,,1,0,7,1294,1345,,,,,,,,
12434,,,,,,1,0,12,1286,1345,,,,,,,,
12435,,,,,,1,0,15,1276,1349,,,,,,,,
12436,,,,,,1,1287,1354,,,,,,,,,,
12437,,,,,,1,0,12,1255,1341,,,,,,,,
12438,,,,,,1,0,8,1248,1325,,,,,,,,
12439,,,,,,1,0,32,1249,1339,,,,,,,,
12440,,,,,,1,0,5,1258,1339,,,,,,,,
12441,,,,,,1,0,3,1238,1333,,,,,,,,
12442,,,,,,1,0,32,1228,1322,,,,,,,,
12443,,,,,,1,0,40,1220,1322,,,,,,,,
12444,,,,,,1,0,10,1222,1319,,,,,,,,
12445,,,,,,1,0,15,1221,1323,,,,,,,,
12446,,,,,,1,0,14,1205,1321,,,,,,,,
12447,,,,,,1,0,16,1203,1314,,,,,,,,
12448,,,,,,1,0,22,1195,1312,,,,,,,,
12449,,,,,,1,0,41,1183,1309,,,,,,,,
12450,,,,,,1,0,29,1185,1306,,,,,,,,
12451,,,,,,1,0,58,1168,1303,,,,,,,,
12452,,,,,,1,0,30,1170,1299,,,,,,,,
12453,,,,,,1,0,70,1151,1298,,,,,,,,
12454,,,,,,1,0,71,1153,1293,,,,,,,,
12455,12455,12455,12455,12455,12455,1,0,37,1139,1292,,,,,,,,
12456,,,,,,1,0,42,1126,1290,,,,,,,,
12457,,,,,,1,0,57,1121,1287,,,,,,,,
12458,,,,,,1,0,69,1111,1283,,,,,,,,
12459,,,,,,1,0,78,1101,1280,,,,,,,,
12460,,,,,,1,0,63,1091,1280,,,,,,,,
12461,,,,,,1,0,109,1077,1279,,,,,,,,
12462,,,,,,1,0,101,1063,1273,,,,,,,,
12463,,,,,,1,0,80,1065,1267,,,,,,,,
12464,,,,,,1,0,107,1069,1278,,,,,,,,
12465,,,,,,1,0,126,1054,1276,,,,,,,,
12466,,,,,,1,0,102,1042,1278,,,,,,,,
12467,,,,,,1,0,148,1035,1275,,,,,,,,
12468,,,,,,1,0,125,1036,1279,,,,,,,,
12469,,,,,,1,0,170,1031,1279,,,,,,,,
12470,,,,,,1,0,126,1020,1279,,,,,,,,
12471,,,,,,1,0,142,1014,1281,,,,,,,,
12472,,,,,,1,0,151,1003,1280,,,,,,,,
12473,,,,,,1,0,187,1002,1279,,,,,,,,
12474,,,,,,1,0,199,983,1279,,,,,,,,
12475,,,,,,1,0,160,987,1282,,,,,,,,
12476,,,,,,1,0,190,978,1284,,,,,,,,
12477,,,,,,1,0,221,971,1285,,,,,,,,
12478,,,,,,1,0,202,958,1284,,,,,,,,
12479,,,,,,1,0,201,966,1282,,,,,,,,
12480,,,,,,1,0,195,960,1282,,,,,,,,
12481,,,,,,1,0,220,963,1280,,,,,,,,
12482,,,,,,1,0,222,948,1281,,,,,,,,
12483,,,,,,1,0,216,945,1280,,,,,,,,
12484,,,,,,1,0,214,937,1282,,,,,,,,
12485,,,,,,1,0,233,922,1279,,,,,,,,
12486,,,,,,1,0,232,931,1282,,,,,,,,
12487,,,,,,1,0,230,930,1290,,,,,,,,
12488,,,,,,1,0,220,926,1287,,,,,,,,
12489,,,,,,1,0,238,895,1288,,,,,,,,
12490,,,,,,1,0,247,892,1290,,,,,,,,
12491,,,,,,1,0,248,894,1288,,,,,,,,
12492,,,,,,1,0,251,889,1286,,,,,,,,
12493,,,,,,1,0,242,898,1285,,,,,,,,
12494,,,,,,1,0,246,908,1289,,,,,,,,
12495,,,,,,1,0,249,900,1286,,,,,,,,
12496,,,,,,1,0,246,906,1285,,,,,,,,
12497,,,,,,1,0,254,897,1284,,,,,,,,
12498,,,,,,1,0,246,901,1287,,,,,,,,
12499,,,,,,1,0,257,896,1287,,,,,,,,
12500,,,,,,1,0,254,892,1287,,,,,,,,
12501,,,,,,1,0,252,909,1286,,,,,,,,
12502,,,,,,1,0,244,906,1288,,,,,,,,
12503,,,,,,1,0,245,915,1287,,,,,,,,
12504,,,,,,1,0,244,922,1288,,,,,,,,
12505,,,,,,1,0,250,914,1286,,,,,,,,
12506,,,,,,1,0,245,929,1287,,,,,,,,
12507,,,,,,1,0,242,932,1288,,,,,,,,
12508,,,,,,1,0,243,934,1286,,,,,,,,
12509,,,,,,1,0,237,946,1283,,,,,,,,
12510,,,,,,1,0,240,948,1280,,,,,,,,
12511,,,,,,1,0,233,954,1281,,,,,,,,
12512,,,,,,1,0,248,954,1281,,,,,,,,
12513,,,,,,1,0,240,966,1279,,,,,,,,
12514,,,,,,1,0,228,975,1281,,,,,,,,
12515,,,,,,1,0,224,975,1282,,,,,,,,
12516,,,,,,1,0,216,982,1281,,,,,,,,
12517,,,,,,1,0,238,986,1282,,,,,,,,
12518,,,,,,1,0,227,993,1284,,,,,,,,
12519,,,,,,1,0,231,1002,1286,,,,,,,,
12520,,,,,,1,0,210,1008,1281,,,,,,,,
12521,,,,,,1,0,207,1017,1279,,,,,,,,
12522,,,,,,1,0,207,1019,1279,,,,,,,,
12523,,,,,,1,0,207,1025,1277,,,,,,,,
12524,,,,,,1,0,198,1035,1277,,,,,,,,
12525,,,,,,1,0,175,1046,1278,,,,,,,,
12526,,,,,,1,0,165,1051,1277,,,,,,,,
12527,,,,,,1,0,161,1062,1280,,,,,,,,
12528,,,,,,1,0,171,1062,1279,,,,,,,,
12529,,,,,,1,0,174,1077,1277,,,,,,,,
12530,,,,,,1,0,160,1082,1275,,,,,,,,
12531,,,,,,1,0,159,1080,1277,,,,,,,,
12532,,,,,,1,0,147,1093,1279,,,,,,,,
12533,,,,,,1,0,122,1107,1278,,,,,,,,
12534,,,,,,1,0,133,1111,1279,,,,,,,,
12535,,,,,,1,0,126,1117,1280,,,,,,,,
12536,,,,,,1,0,113,1128,1278,,,,,,,,
12537,,,,,,1,0,104,1130,1280,,,,,,,,
12538,,,,,,1,0,94,1142,1280,,,,,,,,
12539,,,,,,1,0,82,1142,1280,,,,,,,,
12540,,,,,,1,0,89,1148,1280,,,,,,,,
12541,,,,,,1,0,97,1159,1283,,,,,,,,
12542,,,,,,1,0,74,1157,1284,,,,,,,,
12543,,,,,,1,0,67,1161,1286,,,,,,,,
12544,,,,,,1,0,77,1175,1288,,,,,,,,
12545,,,,,,1,0,82,1185,1291,,,,,,,,
12546,,,,,,1,0,67,1198,1294,,,,,,,,
12547,,,,,,1,0,76,1208,1297,,,,,,,,
12548,,,,,,1,0,40,1215,1300,,,,,,,,
12549,,,,,,1,0,40,1214,1303,,,,,,,,
12550,,,,,,1,0,63,1234,1306,,,,,,,,
12551,,,,,,1,0,57,1232,1310,,,,,,,,
12552,,,,,,1,0,58,1245,1313,,,,,,,,
12553,,,,,,1,0,27,1240,1316,,,,,,,,
12554,,,,,,1,0,34,1238,1318,,,,,,,,
12555,,,,,,1,0,47,1257,1322,,,,,,,,
12556,,,,,,1,0,37,1283,1324,,,,,,,,
12557,,,,,,1,0,35,1280,1328,,,,,,,,
12558,,,,,,1,0,28,1267,1329,,,,,,,,
12559,,,,,,1,0,29,1272,1334,,,,,,,,
12560,,,,,,1,0,6,1284,1342,,,,,,,,
12561,,,,,,1,0,4,1290,1347,,,,,,,,
12562,,,,,,1,0,23,1301,1345,,,,,,,,
12563,,,,,,1,0,29,1338,1360,,,,,,,,
12564,,,,,,1,0,4,1341,1363,,,,,,,,
12565,,,,,,1,0,4,1355,1370,,,,,,,,
12566,,,,,,1,0,8,1321,1365,,,,,,,,
12567,,,,,,1,0,8,1340,1377,,,,,,,,
12568,,,,,,1,1350,1388,,,,,,,,,,
12569,,,,,,1,1391,1406,,,,,,,,,,
12570,,,,,,1,1376,1386,,,,,,,,,,
12571,,,,,,1,1356,1396,,,,,,,,,,
12572,,,,,,1,1400,1404,,,,,,,,,,
12573,,,,,,1,1376,1411,,,,,,,,,,
12574,,,,,,1,1384,1403,,,,,,,,,,
12575,,,,,,1,1422,1435,,,,,,,,,,
12576,,,,,,0,,,,,,,,,,,,
12577,,,,,,1,1412,1433,,,,,,,,,,
12578,,,,,,0,,,,,,,,,,,,
12579,,,,,,1,1444,1454,,,,,,,,,,
12580,,,,,,1,1441,1459,,,,,,,,,,
12581,,,,,,0,,,,,,,,,,,,
12582,,,,,,0,,,,,,,,,,,,
12583,,,,,,1,1482,1488,,,,,,,,,,
12584,,,,,,0,,,,,,,,,,,,
12585,,,,,,0,,,,,,,,,,,,
12586,,,,,,0,,,,,,,,,,,,
12587,,,,,,0,,,,,,,,,,,,
12588,,,,,,0,,,,,,,,,,,,
12589,,,,,,0,,,,,,,,,,,,
12590,,,,,,1,1529,1535,,,,,,,,,,
12591,,,,,,0,,,,,,,,,,,,
12592,,,,,,0,,,,,,,,,,,,
12593,,,,,,0,,,,,,,,,,,,
12594,,,,,,0,,,,,,,,,,,,
12595,,,,,,0,,,,,,,,,,,,
12596,,,,,,0,,,,,,,,,,,,
12597,,,,,,0,,,,,,,,,,,,
12598,,,,,,0,,,,,,,,,,,,
12599,,,,,,0,,,,,,,,,,,,
12600,,,,,,0,,,,,,,,,,,,
12601,,,,,,0,,,,,,,,,,,,
12602,,,,,,0,,,,,,,,,,,,
12603,,,,,,0,,,,,,,,,,,,
12604,,,,,,0,,,,,,,,,,,,
12605,,,,,,0,,,,,,,,,,,,
12606,,,,,,0,,,,,,,,,,,,
12607,,,,,,0,,,,,,,,,,,,
12608,,,,,,0,,,,,,,,,,,,
12609,,,,,,0,,,,,,,,,,,,
12610,,,,,,0,,,,,,,,,,,,
12611,,,,,,0,,,,,,,,,,,,
12612,,,,,,0,,,,,,,,,,,,
12613,,,,,,0,,,,,,,,,,,,
12614,,,,,,0,,,,,,,,,,,,
