Orbit,First no panel,Last no panel,Last Frame,# No panel,% No panel,Glare,Glare Start 1,Glare End 1,Glare Start 2,Glare End 2,Notes,,,,,,Very Good,"MLSPB covers most sp, 0-15-frame difference"
12860,,,,,,0,,,,,,,,,,,Good,"MLSPB covers most sp, 15-30-frame difference"
12861,,,,,,0,,,,,,,,,,,Okay,"MLSPB misses more sp, 15-30-frame difference"
12862,,,,,,0,,,,,,,,,,,Bad,"MLSPB misses more sp, >30-frame difference"
12863,,,,,,0,,,,,,,,,,,Very Bad,MLSPB misses a lot more sp
12864,,,,,,0,,,,,,,,,,,Special,"Special cases, model does not work properly"
12865,,,,,,0,,,,,,,,,,,,
12866,,,,,,0,,,,,,,,,,,,
12867,,,,,,0,,,,,,,,,,,,
12868,,,,,,0,,,,,,,,,,,,
12869,,,,,,0,,,,,,,,,,,,
12870,,,,,,0,,,,,,,,,,,,
12871,,,,,,0,,,,,,,,,,,,
12872,,,,,,0,,,,,,,,,,,,
12873,,,,,,0,,,,,,,,,,,,
12874,,,,,,0,,,,,,,,,,,,
12875,,,,,,0,,,,,,,,,,,,
12876,,,,,,0,,,,,,,,,,,,
12877,,,,,,0,,,,,,,,,,,,
12878,,,,,,0,,,,,,,,,,,,
12879,,,,,,0,,,,,,,,,,,,
12880,,,,,,0,,,,,,,,,,,,
12881,,,,,,0,,,,,,,,,,,,
12882,,,,,,0,,,,,,,,,,,,
12883,,,,,,0,,,,,,,,,,,,
12884,,,,,,0,,,,,,,,,,,,
12885,,,,,,0,,,,,,,,,,,,
12886,,,,,,0,,,,,,,,,,,,
12887,,,,,,0,,,,,,,,,,,,
12888,12455,12455,12455,12455,12455,0,,,,,,,,,,,,
12889,,,,,,0,,,,,,,,,,,,
12890,,,,,,0,,,,,,,,,,,,
12891,,,,,,0,,,,,,,,,,,,
12892,,,,,,0,,,,,,,,,,,,
12893,,,,,,0,,,,,,,,,,,,
12894,,,,,,0,,,,,,,,,,,,
12895,,,,,,0,,,,,,,,,,,,
12896,,,,,,0,,,,,,,,,,,,
12897,,,,,,0,,,,,,,,,,,,
12898,,,,,,0,,,,,,,,,,,,
12899,,,,,,0,,,,,,,,,,,,
12900,,,,,,0,,,,,,,,,,,,
12901,,,,,,0,,,,,,,,,,,,
12902,,,,,,0,,,,,,,,,,,,
12903,,,,,,0,,,,,,,,,,,,
12904,,,,,,0,,,,,,,,,,,,
12905,,,,,,0,,,,,,,,,,,,
12906,,,,,,0,,,,,,,,,,,,
12907,,,,,,0,,,,,,,,,,,,
12908,,,,,,0,,,,,,,,,,,,
12909,,,,,,0,,,,,,,,,,,,
12910,,,,,,0,,,,,,,,,,,,
12911,,,,,,0,,,,,,,,,,,,
12912,,,,,,0,,,,,,,,,,,,
12913,,,,,,0,,,,,,,,,,,,
12914,,,,,,0,,,,,,,,,,,,
12915,,,,,,0,,,,,,,,,,,,
12916,,,,,,0,,,,,,,,,,,,
