Orbit #,glare_initial,glare_final
13342,1795.0,1805.0
13349,184.0,478.0
13353,294.0,468.0
13353,730.0,1063.0
13354,1326.0,1515.0
13355,0.0,7.0
13356,315.0,654.0
13357,813.0,1513.0
13358,720.0,911.0
13359,828.0,991.0
13360,423.0,532.0
13361,1763.0,1774.0
13366,1769.0,1778.0
13373,595.0,805.0
13399,1715.0,1723.0
13411,0.0,9.0
13423,0.0,4.0
13457,5.0,13.0
13498,1734.0,1741.0
13499,1741.0,1752.0
13510,0.0,7.0
13535,1793.0,1813.0
13536,1777.0,1791.0
13537,1796.0,1808.0
13579,1882.0,1894.0
13732,0.0,6.0
13732,1884.0,1893.0
13735,0.0,11.0
13748,0.0,6.0
13755,1832.0,1837.0
13766,0.0,24.0
13773,0.0,26.0
13782,1510.0,1643.0
13783,580.0,663.0
13784,506.0,544.0
13784,837.0,1043.0
13786,0.0,12.0
13787,1440.0,1530.0
13788,1059.0,1224.0
13788,1371.0,1467.0
13789,1044.0,1127.0
13791,890.0,990.0
13795,612.0,776.0
13796,283.0,405.0
13796,709.0,784.0
13797,1442.0,1595.0
13798,607.0,760.0
13799,1417.0,1511.0
13802,613.0,703.0
13802,1234.0,1423.0
