Orbit #,glare_initial,glare_final
12427.0,8.0,17.0
12427.0,1362.0,1397.0
12428.0,1329.0,1384.0
12429.0,829.0,939.0
12429.0,1328.0,1373.0
12430.0,538.0,676.0
12430.0,1302.0,1363.0
12431.0,1328.0,1384.0
12432.0,947.0,1002.0
12432.0,1328.0,1374.0
12433.0,0.0,7.0
12433.0,1294.0,1345.0
12434.0,0.0,12.0
12434.0,1286.0,1345.0
12435.0,0.0,15.0
12435.0,1276.0,1349.0
12436.0,1287.0,1354.0
12437.0,0.0,12.0
12437.0,1255.0,1341.0
12438.0,0.0,8.0
12438.0,1248.0,1325.0
12439.0,0.0,32.0
12439.0,1249.0,1339.0
12440.0,0.0,5.0
12440.0,1258.0,1339.0
12441.0,0.0,3.0
12441.0,1238.0,1333.0
12442.0,0.0,32.0
12442.0,1228.0,1322.0
12443.0,0.0,40.0
12443.0,1220.0,1322.0
12444.0,0.0,10.0
12444.0,1222.0,1319.0
12445.0,0.0,15.0
12445.0,1221.0,1323.0
12446.0,0.0,14.0
12446.0,1205.0,1321.0
12447.0,0.0,16.0
12447.0,1203.0,1314.0
12448.0,0.0,22.0
12448.0,1195.0,1312.0
12449.0,0.0,41.0
12449.0,1183.0,1309.0
12450.0,0.0,29.0
12450.0,1185.0,1306.0
12451.0,0.0,58.0
12451.0,1168.0,1303.0
12452.0,0.0,30.0
12452.0,1170.0,1299.0
12453.0,0.0,70.0
12453.0,1151.0,1298.0
12454.0,0.0,71.0
12454.0,1153.0,1293.0
12455.0,0.0,37.0
12455.0,1139.0,1292.0
12456.0,0.0,42.0
12456.0,1126.0,1290.0
12457.0,0.0,57.0
12457.0,1121.0,1287.0
12458.0,0.0,69.0
12458.0,1111.0,1283.0
12459.0,0.0,78.0
12459.0,1101.0,1280.0
12460.0,0.0,63.0
12460.0,1091.0,1280.0
12461.0,0.0,109.0
12461.0,1077.0,1279.0
12462.0,0.0,101.0
12462.0,1063.0,1273.0
12463.0,0.0,80.0
12463.0,1065.0,1267.0
12464.0,0.0,107.0
12464.0,1069.0,1278.0
12465.0,0.0,126.0
