Orbit #,glare_initial,glare_final
12931,1688.0,1695.0
12951,0.0,15.0
12954,0.0,3.0
12955,0.0,3.0
12956,0.0,3.0
12958,0.0,3.0
12959,0.0,2.0
12962,0.0,5.0
12963,0.0,7.0
12964,0.0,12.0
12965,0.0,3.0
12966,0.0,6.0
12967,0.0,2.0
12969,0.0,5.0
12970,0.0,6.0
12972,0.0,5.0
12973,0.0,5.0
12974,0.0,3.0
12975,0.0,3.0
12976,0.0,3.0
12977,0.0,3.0
12979,0.0,4.0
12980,0.0,6.0
12981,0.0,11.0
12982,0.0,7.0
12984,0.0,2.0
12985,0.0,10.0
12987,0.0,7.0
12987,1652.0,1655.0
12988,0.0,8.0
12989,0.0,4.0
12990,0.0,5.0
12990,1641.0,1650.0
12991,0.0,3.0
12992,0.0,2.0
12993,0.0,8.0
12994,0.0,3.0
12995,0.0,5.0
12996,0.0,5.0
12997,0.0,5.0
12998,0.0,4.0
13000,0.0,7.0
13001,0.0,8.0
13004,0.0,3.0
13004,1636.0,1643.0
13005,1632.0,1644.0
13007,1658.0,1664.0
13008,0.0,2.0
13009,0.0,6.0
13009,1649.0,1658.0
13010,1631.0,1647.0
13011,0.0,3.0
13013,0.0,5.0
13018,1669.0,1676.0
13021,1681.0,1695.0
13022,1652.0,1667.0
13025,1641.0,1656.0
13026,1653.0,1673.0
13036,1689.0,1708.0
13049,10.0,11.0
13067,1764.0,1778.0
13070,1769.0,1781.0
13071,1771.0,1778.0
13080,1767.0,1781.0
13113,5.0,6.0
13156,0.0,7.0
13178,0.0,3.0
13179,0.0,4.0
13180,0.0,5.0
13201,1897.0,1898.0
13211,0.0,11.0
13233,1928.0,1933.0
13243,1916.0,1919.0
13245,1917.0,1925.0
13257,1909.0,1912.0
13287,1889.0,1901.0
13292,1870.0,1881.0
13298,1865.0,1880.0
13302,1871.0,1880.0
13303,1851.0,1861.0
13306,0.0,12.0
13307,1854.0,1859.0
13308,1852.0,1863.0
13313,1863.0,1869.0
13316,1850.0,1856.0
13321,1840.0,1844.0
13326,1827.0,1837.0
13330,1836.0,1846.0
