Orbit,TP,TN,FP,FN,TP (%),TN (%),FP (%),FN (%),Accuracy,Recall
6292,2427,65754,393,186,3.53,95.63,0.57,0.27,0.9916,0.9288
6320,2411,65458,434,205,3.52,95.55,0.63,0.3,0.9907,0.9216
6350,2210,64393,563,190,3.28,95.6,0.84,0.28,0.9888,0.9208
6380,2125,64183,467,185,3.17,95.85,0.7,0.28,0.9903,0.9199
6410,1617,63468,627,276,2.45,96.18,0.95,0.42,0.9863,0.8542
6440,2018,63606,1134,310,3.01,94.84,1.69,0.46,0.9785,0.8668
6470,2262,64571,657,154,3.34,95.46,0.97,0.23,0.988,0.9363
6500,2337,64911,699,201,3.43,95.25,1.03,0.29,0.9868,0.9208
6530,1608,66140,774,94,2.34,96.39,1.13,0.14,0.9873,0.9448
6560,2239,66812,95,370,3.22,96.11,0.14,0.53,0.9933,0.8582
6590,2048,66709,323,292,2.95,96.16,0.47,0.42,0.9911,0.8752
6620,1900,67077,389,42,2.74,96.64,0.56,0.06,0.9938,0.9784
6650,1887,65259,1426,44,2.75,95.11,2.08,0.06,0.9786,0.9772
6680,1638,64644,303,87,2.46,96.96,0.45,0.13,0.9942,0.9496
6710,1376,62980,173,127,2.13,97.41,0.27,0.2,0.9954,0.9155
6740,994,59924,339,51,1.62,97.74,0.55,0.08,0.9936,0.9512
6770,442,54352,433,69,0.8,98.29,0.78,0.12,0.9909,0.865
