Orbit #,glare_initial,glare_final,,,,,,Difference (Labeled - Predicted)
4421,0,9,,4421,0,11,,2
4422,0,7,,4422,0,8,,1
4423,0,11,,4423,0,12,,1
4424,0,13,,4424,0,16,,3
4425,0,11,,4425,0,12,,1
4426,0,12,,4426,0,14,,2
4427,0,15,,4427,0,13,,-2
4428,0,19,,4428,0,20,,1
4429,0,18,,4429,0,19,,1
4430,0,16,,4430,0,16,,0
4431,0,9,,4431,0,14,,5
4432,0,15,,4432,0,20,,5
4433,0,20,,,,,,
4434,0,19,,,,,,
4435,0,20,,,,,,
4436,0,22,,,,,,
4437,0,20,,,,,,
4438,0,22,,,,,,
4439,0,27,,,,,,
4440,0,25,,,,,,
4441,0,22,,,,,,
4442,0,21,,,,,,
4443,0,10,,,,,,
4444,0,29,,,,,,
4445,0,26,,,,,,
4446,0,13,,,,,,
4447,0,17,,,,,,
4448,0,32,,,,,,
4449,0,33,,,,,,
4450,0,26,,4450,0,28,,2
4451,0,18,,4451,0,17,,-1
4452,0,26,,4452,0,29,,3
4453,0,32,,4453,0,36,,4
4454,0,37,,4454,0,38,,1
4455,0,41,,4455,0,42,,1
4456,0,28,,4456,0,27,,-1
4457,0,40,,4457,0,39,,-1
4458,0,26,,4458,0,30,,4
4459,0,30,,4459,0,30,,0
4460,0,44,,4460,0,48,,4
4461,0,43,,4461,0,44,,1
4462,0,19,,4462,0,23,,4
4463,0,43,,,,,,
4464,0,48,,,,,,
4465,0,53,,,,,,
4466,0,58,,,,,,
4467,0,42,,,,,,
4468,0,41,,,,,,
4469,0,43,,,,,,
4470,0,42,,,,,,
4471,0,49,,,,,,
4472,0,51,,,,,,
4473,0,51,,,,,,
4474,0,45,,,,,,
4477,0,86,,,,,,
4478,0,111,,,,,,
4479,0,28,,,,,,
4480,0,39,,4480,0,40,,1
4481,0,34,,4481,0,40,,6
4482,0,20,,4482,0,20,,0
4483,0,18,,4483,0,14,,-4
4484,0,22,,4484,0,16,,-6
4485,0,13,,4485,0,13,,0
4486,0,12,,4486,0,11,,-1
4487,0,13,,4487,0,20,,7
