Threshold,True_Negatives,False_Positives,False_Negatives,True_Positives,Accuracy,Recall
0.0,0,4794,0,2678,0.35840471092077086,1.0
0.01,2473,2321,6,2672,0.6885706638115632,0.9977595220313666
0.02,3129,1665,16,2662,0.7750267665952891,0.9940253920836445
0.03,3522,1272,24,2654,0.8265524625267666,0.9910380881254668
0.04,3808,986,31,2647,0.8638918629550322,0.9884241971620612
0.05,3992,802,39,2639,0.8874464668094219,0.9854368932038835
0.06,4136,658,46,2632,0.9057815845824411,0.9828230022404779
0.07,4229,565,51,2627,0.917558886509636,0.9809559372666169
0.08,4317,477,61,2617,0.9279978586723768,0.9772218073188947
0.09,4375,419,63,2615,0.9354925053533191,0.9764749813293503
0.1,4428,366,66,2612,0.9421841541755889,0.9753547423450336
0.11,4466,328,75,2603,0.9460653104925053,0.9719940253920837
0.12,4500,294,78,2600,0.9502141327623126,0.970873786407767
0.13,4522,272,85,2593,0.9522216274089935,0.9682598954443614
0.14,4552,242,89,2589,0.9557012847965739,0.9667662434652726
0.15,4572,222,93,2585,0.9578426124197003,0.9652725914861837
0.16,4591,203,98,2580,0.9597162740899358,0.9634055265123226
0.17,4600,194,103,2575,0.9602516059957173,0.9615384615384616
0.18,4621,173,104,2574,0.9629282655246253,0.9611650485436893
0.19,4634,160,107,2571,0.9642665952890792,0.9600448095593727
0.2,4648,146,108,2570,0.9660064239828694,0.9596713965646004
0.21,4665,129,109,2569,0.9681477516059958,0.9592979835698282
0.22,4667,127,111,2567,0.9681477516059958,0.9585511575802838
0.23,4671,123,114,2564,0.9682815845824411,0.9574309185959672
0.24,4680,114,114,2564,0.9694860813704497,0.9574309185959672
0.25,4681,113,118,2560,0.9690845824411135,0.9559372666168783
0.26,4688,106,120,2558,0.9697537473233405,0.9551904406273338
0.27,4695,99,122,2556,0.9704229122055674,0.9544436146377894
0.28,4702,92,123,2555,0.9712259100642399,0.9540702016430171
0.29,4705,89,124,2554,0.9714935760171306,0.9536967886482449
0.3,4709,85,124,2554,0.9720289079229122,0.9536967886482449
0.31,4713,81,126,2552,0.972296573875803,0.9529499626587006
0.32,4717,77,131,2547,0.9721627408993576,0.9510828976848394
0.33,4719,75,131,2547,0.9724304068522484,0.9510828976848394
0.34,4720,74,131,2547,0.9725642398286938,0.9510828976848394
0.35000000000000003,4722,72,133,2545,0.9725642398286938,0.950336071695295
0.36,4727,67,135,2543,0.9729657387580299,0.9495892457057505
0.37,4729,65,135,2543,0.9732334047109208,0.9495892457057505
0.38,4732,62,137,2541,0.9733672376873662,0.9488424197162061
0.39,4734,60,137,2541,0.973634903640257,0.9488424197162061
0.4,4736,58,138,2540,0.9737687366167024,0.9484690067214339
0.41000000000000003,4740,54,141,2537,0.9739025695931478,0.9473487677371173
0.42,4743,51,142,2536,0.9741702355460385,0.9469753547423451
0.43,4743,51,144,2534,0.9739025695931478,0.9462285287528006
0.44,4746,48,146,2532,0.9740364025695931,0.9454817027632562
0.45,4749,45,148,2530,0.9741702355460385,0.9447348767737117
0.46,4752,42,148,2530,0.9745717344753747,0.9447348767737117
0.47000000000000003,4753,41,149,2529,0.9745717344753747,0.9443614637789395
0.48,4755,39,151,2527,0.9745717344753747,0.943614637789395
0.49,4759,35,153,2525,0.9748394004282656,0.9428678117998507
0.5,4759,35,154,2524,0.9747055674518201,0.9424943988050785
0.51,4760,34,154,2524,0.9748394004282656,0.9424943988050785
0.52,4761,33,154,2524,0.9749732334047109,0.9424943988050785
0.53,4763,31,155,2523,0.9751070663811563,0.9421209858103062
0.54,4766,28,155,2523,0.9755085653104925,0.9421209858103062
0.55,4769,25,155,2523,0.9759100642398287,0.9421209858103062
0.56,4770,24,155,2523,0.976043897216274,0.9421209858103062
0.5700000000000001,4770,24,157,2521,0.9757762312633833,0.9413741598207618
0.58,4771,23,159,2519,0.9756423982869379,0.9406273338312173
0.59,4771,23,160,2518,0.9755085653104925,0.9402539208364451
0.6,4771,23,161,2517,0.9753747323340471,0.9398805078416729
0.61,4772,22,161,2517,0.9755085653104925,0.9398805078416729
0.62,4773,21,161,2517,0.9756423982869379,0.9398805078416729
0.63,4773,21,165,2513,0.9751070663811563,0.938386855862584
0.64,4774,20,166,2512,0.9751070663811563,0.9380134428678119
0.65,4776,18,166,2512,0.9753747323340471,0.9380134428678119
0.66,4776,18,166,2512,0.9753747323340471,0.9380134428678119
0.67,4778,16,167,2511,0.9755085653104925,0.9376400298730396
0.68,4778,16,167,2511,0.9755085653104925,0.9376400298730396
0.6900000000000001,4779,15,168,2510,0.9755085653104925,0.9372666168782674
0.7000000000000001,4779,15,171,2507,0.9751070663811563,0.9361463778939507
0.71,4780,14,171,2507,0.9752408993576017,0.9361463778939507
0.72,4780,14,174,2504,0.9748394004282656,0.935026138909634
0.73,4781,13,176,2502,0.9747055674518201,0.9342793129200896
0.74,4782,12,176,2502,0.9748394004282656,0.9342793129200896
