Threshold,True_Negatives,False_Positives,False_Negatives,True_Positives,Accuracy,Recall
0.0,0,6782,0,4098,0.3766544117647059,1.0
0.01,2153,4629,20,4078,0.572702205882353,0.995119570522206
0.02,2601,4181,30,4068,0.6129595588235294,0.9926793557833089
0.03,2900,3882,35,4063,0.6399816176470589,0.9914592484138605
0.04,3207,3575,47,4051,0.6670955882352941,0.988530990727184
0.05,3447,3335,61,4037,0.6878676470588235,0.9851146900927281
0.06,3676,3106,72,4026,0.7079044117647059,0.9824304538799414
0.07,3888,2894,86,4012,0.7261029411764706,0.9790141532454856
0.08,4087,2695,93,4005,0.74375,0.9773060029282576
0.09,4273,2509,104,3994,0.7598345588235295,0.974621766715471
0.1,4441,2341,118,3980,0.7739889705882353,0.9712054660810151
0.11,4600,2182,132,3966,0.7873161764705883,0.9677891654465594
0.12,4754,2028,148,3950,0.8,0.9638848218643241
0.13,4896,1886,162,3936,0.8117647058823529,0.9604685212298683
0.14,5040,1742,181,3917,0.8232536764705882,0.9558321132259638
0.15,5193,1589,200,3898,0.8355698529411765,0.9511957052220595
0.16,5351,1431,220,3878,0.8482536764705882,0.9463152757442655
0.17,5475,1307,240,3858,0.8578125,0.9414348462664714
0.18,5627,1155,259,3839,0.8700367647058823,0.9367984382625671
0.19,5767,1015,303,3795,0.8788602941176471,0.9260614934114202
0.2,5916,866,361,3737,0.8872242647058823,0.9119082479258175
0.21,6024,758,396,3702,0.8939338235294118,0.9033674963396779
0.22,6112,670,428,3670,0.8990808823529411,0.8955588091752075
0.23,6175,607,455,3643,0.9023897058823529,0.8889702293801854
0.24,6229,553,482,3616,0.9048713235294118,0.8823816495851635
0.25,6283,499,499,3599,0.9082720588235295,0.8782332845290386
0.26,6324,458,513,3585,0.9107536764705882,0.8748169838945827
0.27,6358,424,522,3576,0.9130514705882353,0.8726207906295754
0.28,6397,385,540,3558,0.9149816176470589,0.8682284040995608
0.29,6426,356,558,3540,0.9159926470588236,0.8638360175695461
0.3,6445,337,569,3529,0.9167279411764706,0.8611517813567594
0.31,6460,322,586,3512,0.9165441176470588,0.8570034163006345
0.32,6478,304,606,3492,0.9163602941176471,0.8521229868228404
0.33,6489,293,617,3481,0.9163602941176471,0.8494387506100537
0.34,6500,282,635,3463,0.9157169117647059,0.8450463640800391
0.35,6512,270,644,3454,0.9159926470588236,0.8428501708150318
0.36,6519,263,657,3441,0.9154411764705882,0.8396778916544656
0.37,6533,249,668,3430,0.9157169117647059,0.8369936554416789
0.38,6542,240,675,3423,0.9159007352941176,0.835285505124451
0.39,6549,233,686,3412,0.9155330882352941,0.8326012689116642
0.4,6554,228,699,3399,0.9147977941176471,0.8294289897510981
0.41,6563,219,709,3389,0.9147058823529411,0.826988775012201
0.42,6573,209,727,3371,0.9139705882352941,0.8225963884821864
0.43,6586,196,736,3362,0.9143382352941176,0.8204001952171791
0.44,6591,191,741,3357,0.9143382352941176,0.8191800878477306
0.45,6597,185,751,3347,0.9139705882352941,0.8167398731088336
0.46,6609,173,758,3340,0.9144301470588235,0.8150317227916056
0.47,6613,169,768,3330,0.9138786764705882,0.8125915080527086
0.48,6621,161,779,3319,0.9136029411764706,0.809907271839922
0.49,6630,152,796,3302,0.9128676470588235,0.805758906783797
0.5,6634,148,809,3289,0.9120404411764705,0.8025866276232309
0.51,6637,145,818,3280,0.9114889705882353,0.8003904343582235
0.52,6647,135,823,3275,0.9119485294117647,0.799170326988775
0.53,6652,130,835,3263,0.9113051470588235,0.7962420693020986
0.54,6661,121,845,3253,0.9112132352941177,0.7938018545632015
0.55,6664,118,855,3243,0.9105698529411764,0.7913616398243045
0.56,6667,115,865,3233,0.9099264705882353,0.7889214250854075
0.57,6670,112,872,3226,0.9095588235294118,0.7872132747681796
0.58,6674,108,879,3219,0.9092830882352941,0.7855051244509517
0.59,6680,102,892,3206,0.908639705882353,0.7823328452903856
0.6,6688,94,899,3199,0.9087316176470588,0.7806246949731577
0.61,6690,92,910,3188,0.9079044117647059,0.7779404587603709
0.62,6697,85,918,3180,0.9078125,0.7759882869692533
0.63,6701,81,926,3172,0.9074448529411765,0.7740361151781356
0.64,6702,80,929,3169,0.9072610294117647,0.7733040507564666
0.65,6707,75,938,3160,0.9068933823529411,0.7711078574914593
0.66,6708,74,948,3150,0.9060661764705882,0.7686676427525623
0.67,6710,72,959,3139,0.9052389705882353,0.7659834065397755
0.68,6711,71,965,3133,0.9047794117647059,0.7645192776964372
0.69,6715,67,972,3126,0.9045036764705883,0.7628111273792094
0.7,6717,65,985,3113,0.9034926470588235,0.7596388482186432
0.71,6720,62,991,3107,0.9032169117647059,0.758174719375305
0.72,6723,59,1001,3097,0.9025735294117647,0.755734504636408
0.73,6726,56,1013,3085,0.9017463235294118,0.7528062469497315
0.74,6726,56,1024,3074,0.9007352941176471,0.7501220107369448
0.75,6728,54,1041,3057,0.8993566176470589,0.7459736456808199
0.76,6731,51,1053,3045,0.8985294117647059,0.7430453879941434
0.77,6734,48,1064,3034,0.8977941176470589,0.7403611517813568
0.78,6737,45,1076,3022,0.8969669117647059,0.7374328940946804
0.79,6740,42,1083,3015,0.8965992647058824,0.7357247437774525
0.8,6743,39,1094,3004,0.8958639705882353,0.7330405075646657
0.81,6747,35,1107,2991,0.8950367647058823,0.7298682284040996
0.82,6747,35,1114,2984,0.8943933823529412,0.7281600780868717
0.83,6748,34,1123,2975,0.8936580882352941,0.7259638848218644
0.84,6749,33,1138,2960,0.8923713235294117,0.7223035627135188
0.85,6750,32,1153,2945,0.8910845588235294,0.7186432406051733
0.86,6753,29,1162,2936,0.8905330882352941,0.716447047340166
0.87,6756,26,1178,2920,0.8893382352941176,0.7125427037579307
0.88,6760,22,1194,2904,0.888235294117647,0.7086383601756955
0.89,6760,22,1210,2888,0.8867647058823529,0.7047340165934602
0.9,6761,21,1222,2876,0.8857536764705882,0.7018057589067838
0.91,6762,20,1240,2858,0.8841911764705882,0.6974133723767691
0.92,6763,19,1256,2842,0.8828125,0.6935090287945339
0.93,6765,17,1274,2824,0.8813419117647059,0.6891166422645193
0.94,6766,16,1300,2798,0.8790441176470588,0.6827720839433871
0.95,6770,12,1323,2775,0.8772977941176471,0.6771595900439239
0.96,6772,10,1354,2744,0.8746323529411765,0.6695949243533431
0.97,6773,9,1387,2711,0.8716911764705882,0.661542215714983
0.98,6776,6,1443,2655,0.8668198529411765,0.6478770131771596
0.99,6779,3,1536,2562,0.858547794117647,0.6251830161054173
1.0,6782,0,2409,1689,0.7785845588235294,0.41215226939970717
